,0
2012-01-01,11820.0
2012-01-08,
2012-01-15,
2012-01-22,
2012-01-29,
2012-02-05,11841.0
2012-02-12,
2012-02-19,
2012-02-26,
2012-03-04,11880.0
2012-03-11,
2012-03-18,
2012-03-25,
2012-04-01,11897.0
2012-04-08,
2012-04-15,
2012-04-22,
2012-04-29,
2012-05-06,11908.0
2012-05-13,
2012-05-20,
2012-05-27,
2012-06-03,11918.0
2012-06-10,
2012-06-17,
2012-06-24,
2012-07-01,11944.0
2012-07-08,
2012-07-15,
2012-07-22,
2012-07-29,
2012-08-05,11940.0
2012-08-12,
2012-08-19,
2012-08-26,
2012-09-02,11934.0
2012-09-09,
2012-09-16,
2012-09-23,
2012-09-30,
2012-10-07,11941.0
2012-10-14,
2012-10-21,
2012-10-28,
2012-11-04,11930.0
2012-11-11,
2012-11-18,
2012-11-25,
2012-12-02,11939.0
2012-12-09,
2012-12-16,
2012-12-23,
2012-12-30,
2013-01-06,11962.0
2013-01-13,
2013-01-20,
2013-01-27,
2013-02-03,11974.0
2013-02-10,
2013-02-17,
2013-02-24,
2013-03-03,11977.0
2013-03-10,
2013-03-17,
2013-03-24,
2013-03-31,
2013-04-07,11978.0
2013-04-14,
2013-04-21,
2013-04-28,
2013-05-05,11978.0
2013-05-12,
2013-05-19,
2013-05-26,
2013-06-02,11982.0
2013-06-09,
2013-06-16,
2013-06-23,
2013-06-30,
2013-07-07,11962.0
2013-07-14,
2013-07-21,
2013-07-28,
2013-08-04,11992.0
2013-08-11,
2013-08-18,
2013-08-25,
2013-09-01,12010.0
2013-09-08,
2013-09-15,
2013-09-22,
2013-09-29,
2013-10-06,12033.0
2013-10-13,
2013-10-20,
2013-10-27,
2013-11-03,12054.0
2013-11-10,
2013-11-17,
2013-11-24,
2013-12-01,12060.0
2013-12-08,
2013-12-15,
2013-12-22,
2013-12-29,
2014-01-05,12058.0
2014-01-12,
2014-01-19,
2014-01-26,
2014-02-02,12084.0
2014-02-09,
2014-02-16,
2014-02-23,
2014-03-02,12096.0
2014-03-09,
2014-03-16,
2014-03-23,
2014-03-30,
2014-04-06,12109.0
