,0
2006-01-01,14208.0
2006-02-01,14208.0
2006-03-01,14210.0
2006-04-01,14223.0
2006-05-01,14200.0
2006-06-01,14210.0
2006-07-01,14185.0
2006-08-01,14154.0
2006-09-01,14120.0
2006-10-01,14068.0
2006-11-01,14034.0
2006-12-01,14009.0
2007-01-01,14004.0
2007-02-01,13993.0
2007-03-01,13964.0
2007-04-01,13939.0
2007-05-01,13922.0
2007-06-01,13903.0
2007-07-01,13881.0
2007-08-01,13821.0
2007-09-01,13784.0
2007-10-01,13756.0
2007-11-01,13751.0
2007-12-01,13739.0
2008-01-01,13717.0
2008-02-01,13690.0
2008-03-01,13650.0
2008-04-01,13589.0
2008-05-01,13555.0
2008-06-01,13494.0
2008-07-01,13419.0
2008-08-01,13348.0
2008-09-01,13267.0
2008-10-01,13138.0
2008-11-01,13026.0
2008-12-01,12842.0
2009-01-01,12552.0
2009-02-01,12371.0
2009-03-01,12196.0
2009-04-01,12017.0
2009-05-01,11850.0
2009-06-01,11713.0
2009-07-01,11654.0
2009-08-01,11612.0
2009-09-01,11580.0
2009-10-01,11527.0
2009-11-01,11498.0
2009-12-01,11465.0
2010-01-01,11447.0
2010-02-01,11439.0
2010-03-01,11439.0
2010-04-01,11475.0
2010-05-01,11511.0
2010-06-01,11529.0
2010-07-01,11546.0
2010-08-01,11538.0
2010-09-01,11549.0
2010-10-01,11548.0
2010-11-01,11571.0
2010-12-01,11579.0
2011-01-01,11606.0
2011-02-01,11637.0
2011-03-01,11659.0
2011-04-01,11689.0
2011-05-01,11697.0
2011-06-01,11710.0
2011-07-01,11729.0
2011-08-01,11748.0
2011-09-01,11752.0
2011-10-01,11762.0
2011-11-01,11753.0
2011-12-01,11783.0
2012-01-01,11820.0
2012-02-01,11841.0
2012-03-01,11880.0
2012-04-01,11897.0
2012-05-01,11908.0
2012-06-01,11918.0
2012-07-01,11944.0
2012-08-01,11940.0
2012-09-01,11934.0
2012-10-01,11941.0
2012-11-01,11930.0
2012-12-01,11939.0
2013-01-01,11962.0
2013-02-01,11974.0
2013-03-01,11977.0
2013-04-01,11978.0
2013-05-01,11978.0
2013-06-01,11982.0
2013-07-01,11962.0
2013-08-01,11992.0
2013-09-01,12010.0
2013-10-01,12033.0
2013-11-01,12054.0
2013-12-01,12060.0
2014-01-01,12058.0
2014-02-01,12084.0
2014-03-01,12096.0
2014-04-01,12109.0
2014-05-01,12120.0
2014-06-01,12146.0
2014-07-01,12165.0
2014-08-01,12182.0
2014-09-01,12201.0
2014-10-01,12233.0
2014-11-01,12260.0
2014-12-01,12266.0
2015-01-01,12265.0
2015-02-01,12275.0
2015-03-01,12286.0
2015-04-01,12291.0
2015-05-01,12306.0
2015-06-01,12307.0
2015-07-01,12323.0
2015-08-01,12318.0
2015-09-01,12326.0
2015-10-01,12334.0
2015-11-01,12329.0
2015-12-01,12333.0
2016-01-01,12354.0
2016-02-01,12337.0
2016-03-01,12313.0
2016-04-01,12325.0
2016-05-01,12303.0
2016-06-01,12321.0
2016-07-01,12342.0
2016-08-01,12319.0
2016-09-01,12317.0
2016-10-01,12316.0
2016-11-01,12311.0
2016-12-01,12324.0
2017-01-01,12334.0
2017-02-01,12350.0
2017-03-01,12361.0
2017-04-01,12367.0
2017-05-01,12377.0
2017-06-01,12390.0
2017-07-01,12390.0
2017-08-01,12435.0
2017-09-01,12443.0
2017-10-01,12457.0
2017-11-01,12472.0
2017-12-01,12501.0
2018-01-01,12527.0
2018-02-01,12551.0
2018-03-01,12576.0
2018-04-01,12595.0
2018-05-01,12623.0
2018-06-01,12656.0
2018-07-01,12676.0
2018-08-01,12688.0
2018-09-01,12710.0
2018-10-01,12731.0
2018-11-01,12741.0
2018-12-01,12761.0
2019-01-01,12790.0
2019-02-01,12782.0
2019-03-01,12788.0
2019-04-01,12785.0
2019-05-01,12778.0
2019-06-01,12787.0
2019-07-01,12790.0
2019-08-01,12789.0
2019-09-01,12787.0
2019-10-01,12733.0
2019-11-01,12777.0
2019-12-01,12760.0
2020-01-01,12745.0
2020-02-01,12743.0
2020-03-01,12684.0
2020-04-01,11382.0
2020-05-01,11610.0
2020-06-01,11950.0
2020-07-01,11973.0
2020-08-01,11999.0
2020-09-01,12057.0
2020-10-01,12086.0
2020-11-01,12118.0
2020-12-01,12153.0
2021-01-01,12142.0
2021-02-01,12172.0
2021-03-01,12229.0
2021-04-01,12193.0
2021-05-01,12216.0
2021-06-01,12247.0
2021-07-01,12305.0
2021-08-01,12353.0
2021-09-01,12393.0
2021-10-01,12453.0
2021-11-01,12498.0
2021-12-01,12537.0
2022-01-01,12564.0
2022-02-01,12601.0
2022-03-01,12674.0
2022-04-01,12726.0
2022-05-01,12735.0
2022-06-01,12767.0
2022-07-01,12800.0
2022-08-01,12832.0
2022-09-01,12849.0
2022-10-01,12883.0
2022-11-01,12896.0
2022-12-01,12895.0
2023-01-01,12903.0
2023-02-01,12898.0
2023-03-01,12888.0
2023-04-01,12884.0
2023-05-01,12869.0
2023-06-01,12875.0
2023-07-01,12862.0
2023-08-01,12861.0
2023-09-01,12872.0
2023-10-01,12837.0
2023-11-01,12859.0
2023-12-01,12872.0
2024-01-01,12875.0
2024-02-01,12852.0
2024-03-01,12836.0
2024-04-01,12833.0
2024-05-01,12825.0
2024-06-01,12814.0
2024-07-01,12806.0
2024-08-01,12772.0
2024-09-01,12758.0
2024-10-01,12697.0
2024-11-01,12711.0
2024-12-01,12693.0
2025-01-01,12673.0
2025-02-01,12671.0
2025-03-01,12666.0
2025-04-01,12662.0
2025-05-01,12651.0
2025-06-01,12636.0
2025-07-01,12625.0
2025-08-01,12615.0
2025-09-01,12612.0
2025-10-01,12603.0
2025-11-01,12593.0
2025-12-01,12580.0
