Price,Close,High,Low,Open,Volume
Ticker,GE=F,GE=F,GE=F,GE=F,GE=F
Date,,,,,
2006-01-01,95.40499877929688,95.41500091552734,95.3949966430664,95.3949966430664,12543
2006-01-08,95.39749908447266,95.41000366210938,95.38999938964844,95.40750122070312,7624
2006-01-15,95.31999969482422,95.4000015258789,95.3125,95.3949966430664,11416
2006-01-22,95.2874984741211,95.33000183105469,95.27999877929688,95.33000183105469,12072
2006-01-29,95.25499725341797,95.28250122070312,95.25499725341797,95.28250122070312,7201
2006-02-05,95.25499725341797,95.26499938964844,95.25,95.26499938964844,3672
2006-02-12,95.11750030517578,95.25499725341797,95.10250091552734,95.25499725341797,659219
2006-02-19,95.11000061035156,95.12000274658203,95.10250091552734,95.11750030517578,524305
2006-02-26,95.1050033569336,95.12249755859375,95.10250091552734,95.11000061035156,596638
2006-03-05,95.09249877929688,95.11000061035156,95.08999633789062,95.1050033569336,698702
2006-03-12,95.0,95.09249877929688,94.95500183105469,95.09249877929688,29912
2006-03-19,94.99500274658203,95.01000213623047,94.97250366210938,94.99500274658203,25455
2006-03-26,94.94999694824219,94.99749755859375,94.94499969482422,94.98750305175781,18684
2006-04-02,94.93250274658203,94.97000122070312,94.92500305175781,94.97000122070312,17604
2006-04-09,94.92250061035156,94.93000030517578,94.91999816894531,94.93000030517578,9665
2006-04-16,94.83000183105469,94.8550033569336,94.81999969482422,94.81999969482422,9163
2006-04-23,94.8550033569336,94.86000061035156,94.7925033569336,94.8324966430664,19332
2006-04-30,94.83499908447266,94.84500122070312,94.80999755859375,94.84249877929688,16566
2006-05-07,94.82250213623047,94.8375015258789,94.81749725341797,94.8375015258789,5777
2006-05-14,94.70500183105469,94.83000183105469,94.69999694824219,94.82749938964844,1308667
2006-05-21,94.72750091552734,94.75250244140625,94.69750213623047,94.70249938964844,1049364
2006-05-28,94.73249816894531,94.74749755859375,94.65750122070312,94.7249984741211,1196152
2006-06-04,94.65750122070312,94.73999786376953,94.65499877929688,94.73999786376953,985793
2006-06-11,94.57499694824219,94.65750122070312,94.56749725341797,94.65750122070312,852590
2006-06-18,94.44999694824219,94.48999786376953,94.44000244140625,94.48500061035156,19499
2006-06-25,94.50749969482422,94.50749969482422,94.44000244140625,94.44499969482422,27247
2006-07-02,94.48750305175781,94.5,94.45999908447266,94.4749984741211,11520
2006-07-09,94.51499938964844,94.51750183105469,94.4800033569336,94.48750305175781,19645
2006-07-16,94.5,94.52749633789062,94.375,94.51000213623047,25096
2006-07-23,94.54750061035156,94.55249786376953,94.47000122070312,94.48999786376953,20240
2006-07-30,94.5625,94.58499908447266,94.48999786376953,94.52999877929688,27815
2006-08-06,94.58999633789062,94.62000274658203,94.54000091552734,94.55000305175781,31130
2006-08-13,94.57749938964844,94.59500122070312,94.5199966430664,94.58000183105469,1379423
2006-08-20,94.58499908447266,94.58999633789062,94.56999969482422,94.57499694824219,690506
2006-08-27,94.6050033569336,94.60749816894531,94.5625,94.58499908447266,843464
2006-09-03,94.6050033569336,94.61000061035156,94.59500122070312,94.61000061035156,736669
2006-09-10,94.60749816894531,94.61000061035156,94.59750366210938,94.6050033569336,887902
2006-09-17,94.63249969482422,94.6500015258789,94.5999984741211,94.60749816894531,36930
2006-09-24,94.62999725341797,94.65499877929688,94.625,94.63249969482422,30615
2006-10-01,94.62750244140625,94.63999938964844,94.62249755859375,94.62750244140625,28317
2006-10-08,94.62249755859375,94.62999725341797,94.62000274658203,94.62999725341797,25332
2006-10-15,94.61750030517578,94.625,94.61499786376953,94.625,16975
2006-10-22,94.625,94.625,94.60250091552734,94.61750030517578,10829
2006-10-29,94.61750030517578,94.6449966430664,94.61750030517578,94.62249755859375,10868
2006-11-05,94.62750244140625,94.62999725341797,94.61750030517578,94.62000274658203,8197
2006-11-12,94.62750244140625,94.63249969482422,94.61250305175781,94.62750244140625,930566
2006-11-19,94.63500213623047,94.63749694824219,94.62750244140625,94.62750244140625,399046
2006-11-26,94.66000366210938,94.67250061035156,94.62999725341797,94.63500213623047,1108934
2006-12-03,94.63500213623047,94.66999816894531,94.62999725341797,94.6500015258789,926261
2006-12-10,94.63500213623047,94.64250183105469,94.62999725341797,94.63249969482422,704948
2006-12-17,94.6500015258789,94.65499877929688,94.625,94.63749694824219,32491
2006-12-24,94.6449966430664,94.65249633789062,94.64250183105469,94.6500015258789,7228
2006-12-31,94.64250183105469,94.65249633789062,94.63749694824219,94.6449966430664,6719
2007-01-07,94.63999938964844,94.6449966430664,94.63749694824219,94.63749694824219,12400
2007-01-14,94.63999938964844,94.6449966430664,94.63500213623047,94.63999938964844,14979
2007-01-21,94.63749694824219,94.63999938964844,94.63249969482422,94.63749694824219,6122
2007-01-28,94.63749694824219,94.63999938964844,94.63249969482422,94.63249969482422,14806
2007-02-04,94.63749694824219,94.63999938964844,94.63500213623047,94.63500213623047,4919
2007-02-11,94.64250183105469,94.64250183105469,94.63500213623047,94.63749694824219,186830
2007-02-18,94.63999938964844,94.6449966430664,94.63749694824219,94.64250183105469,488547
2007-02-25,94.67250061035156,94.76000213623047,94.63999938964844,94.64250183105469,1293602
2007-03-04,94.6449966430664,94.69999694824219,94.63999938964844,94.67500305175781,874684
2007-03-11,94.6500015258789,94.66000366210938,94.63999938964844,94.6449966430664,785276
2007-03-18,94.6675033569336,94.67500305175781,94.64749908447266,94.64749908447266,66519
2007-03-25,94.6624984741211,94.67250061035156,94.66000366210938,94.66000366210938,16189
2007-04-01,94.6500015258789,94.6675033569336,94.64749908447266,94.6675033569336,12728
2007-04-08,94.6449966430664,94.64749908447266,94.63999938964844,94.64749908447266,8684
2007-04-15,94.65249633789062,94.66000366210938,94.63999938964844,94.63999938964844,21968
2007-04-22,94.64749908447266,94.6624984741211,94.6449966430664,94.65750122070312,18320
2007-04-29,94.64749908447266,94.65499877929688,94.63999938964844,94.64749908447266,10091
2007-05-06,94.64250183105469,94.64749908447266,94.63999938964844,94.64250183105469,5163
2007-05-13,94.64749908447266,94.66000366210938,94.63999938964844,94.63999938964844,614525
2007-05-20,94.64250183105469,94.6500015258789,94.63749694824219,94.64749908447266,746649
2007-05-27,94.63749694824219,94.64250183105469,94.63500213623047,94.63999938964844,503629
2007-06-03,94.63749694824219,94.63999938964844,94.63500213623047,94.63999938964844,620033
2007-06-10,94.63749694824219,94.6500015258789,94.63500213623047,94.63999938964844,511671
2007-06-17,94.6449966430664,94.64749908447266,94.63749694824219,94.63999938964844,36624
2007-06-24,94.64250183105469,94.65499877929688,94.63999938964844,94.6449966430664,21147
2007-07-01,94.63999938964844,94.64749908447266,94.63999938964844,94.64749908447266,5728
2007-07-08,94.64250183105469,94.6449966430664,94.63999938964844,94.63999938964844,8038
2007-07-15,94.65249633789062,94.66000366210938,94.63999938964844,94.64250183105469,16016
2007-07-22,94.69499969482422,94.70999908447266,94.6449966430664,94.6500015258789,7473
2007-07-29,94.68250274658203,94.70500183105469,94.65249633789062,94.69000244140625,42292
2007-08-05,94.5,94.71749877929688,94.47000122070312,94.71749877929688,115212
2007-08-12,94.88749694824219,95.0,94.44000244140625,94.5,2647684
2007-08-19,94.6675033569336,94.98500061035156,94.61750030517578,94.875,1952268
2007-08-26,94.49250030517578,94.70500183105469,94.44499969482422,94.66999816894531,1683232
2007-09-02,94.44000244140625,94.48999786376953,94.37000274658203,94.48249816894531,2033301
2007-09-09,94.40499877929688,94.47000122070312,94.30999755859375,94.47000122070312,1436052
2007-09-16,94.9000015258789,94.94499969482422,94.38500213623047,94.40750122070312,225975
2007-09-23,94.82749938964844,94.88999938964844,94.76000213623047,94.88999938964844,136142
2007-09-30,94.75749969482422,94.8324966430664,94.75,94.8324966430664,121853
2007-10-07,94.7874984741211,94.80000305175781,94.75,94.75499725341797,73744
2007-10-14,95.11250305175781,95.13999938964844,94.78500366210938,94.79750061035156,71025
2007-10-21,95.22250366210938,95.23750305175781,95.08999633789062,95.11499786376953,78604
2007-10-28,95.15499877929688,95.2249984741211,95.1050033569336,95.20999908447266,114578
2007-11-04,95.15499877929688,95.19999694824219,95.05000305175781,95.12999725341797,100048
2007-11-11,95.0250015258789,95.19000244140625,95.01499938964844,95.16000366210938,351952
2007-11-18,95.1875,95.24250030517578,95.0625,95.11250305175781,1368908
2007-11-25,95.15499877929688,95.21749877929688,95.05249786376953,95.18250274658203,1992752
2007-12-02,95.01499938964844,95.16999816894531,94.94999694824219,95.16000366210938,1666486
2007-12-09,95.06500244140625,95.19999694824219,94.91000366210938,95.01499938964844,2312868
2007-12-16,95.32499694824219,95.3499984741211,95.04499816894531,95.05999755859375,100142
2007-12-23,95.39749908447266,95.4000015258789,95.3125,95.32499694824219,22723
2007-12-30,95.54000091552734,95.55500030517578,95.39749908447266,95.40249633789062,52740
2008-01-06,95.83999633789062,95.85250091552734,95.54000091552734,95.55000305175781,116693
2008-01-13,96.3324966430664,96.36000061035156,95.87000274658203,95.87000274658203,93646
2008-01-20,96.83000183105469,97.11000061035156,96.38999938964844,96.40499877929688,72918
2008-01-27,96.88999938964844,97.03500366210938,96.74500274658203,96.87999725341797,108346
2008-02-03,97.0250015258789,97.0250015258789,96.81999969482422,96.87999725341797,98369
2008-02-10,96.93000030517578,97.0250015258789,96.90750122070312,97.0250015258789,71332
2008-02-17,97.0250015258789,97.11000061035156,96.92749786376953,96.93000030517578,1244399
2008-02-24,97.19000244140625,97.20500183105469,96.99250030517578,97.0250015258789,1293669
2008-03-02,97.24500274658203,97.2699966430664,97.08499908447266,97.19999694824219,1366457
2008-03-09,97.3375015258789,97.375,97.17500305175781,97.25,1586477
2008-03-16,97.52749633789062,97.79000091552734,97.31500244140625,97.32749938964844,167244
2008-03-23,97.42500305175781,97.4800033569336,97.37999725341797,97.47000122070312,103016
2008-03-30,97.36000061035156,97.44999694824219,97.2699966430664,97.43000030517578,128833
2008-04-06,97.28500366210938,97.33999633789062,97.25,97.33499908447266,77793
2008-04-13,97.0,97.42500305175781,96.93250274658203,97.2874984741211,112331
2008-04-20,97.13500213623047,97.17500305175781,97.0374984741211,97.06500244140625,66877
2008-04-27,97.34500122070312,97.38999938964844,97.13999938964844,97.1449966430664,105008
2008-05-04,97.3375015258789,97.37999725341797,97.2925033569336,97.33499908447266,56341
2008-05-11,97.31749725341797,97.3499984741211,97.20500183105469,97.33999633789062,86395
2008-05-18,97.37750244140625,97.42500305175781,97.32749938964844,97.33000183105469,1181583
2008-05-25,97.29750061035156,97.39749908447266,97.2300033569336,97.37000274658203,1039116
2008-06-01,97.26750183105469,97.34249877929688,97.23999786376953,97.31500244140625,1113718
2008-06-08,97.18250274658203,97.2874984741211,97.14250183105469,97.27249908447266,1400556
2008-06-15,97.09750366210938,97.19999694824219,96.95999908447266,97.18250274658203,148208
2008-06-22,97.22250366210938,97.23750305175781,97.0625,97.09750366210938,99234
2008-06-29,97.20249938964844,97.2249984741211,97.19000244140625,97.2249984741211,62245
2008-07-06,97.20249938964844,97.21749877929688,97.19249725341797,97.20999908447266,78480
2008-07-13,97.14250183105469,97.20999908447266,97.125,97.19000244140625,71402
2008-07-20,97.15249633789062,97.17500305175781,97.08999633789062,97.1500015258789,29700
2008-07-27,97.20500183105469,97.25749969482422,97.15499877929688,97.16000366210938,67705
2008-08-03,97.19999694824219,97.22000122070312,97.18000030517578,97.20500183105469,40654
2008-08-10,97.18499755859375,97.19999694824219,97.18000030517578,97.19999694824219,52746
2008-08-17,97.16999816894531,97.19499969482422,97.12999725341797,97.18250274658203,680884
2008-08-24,97.17749786376953,97.18250274658203,97.16000366210938,97.16500091552734,456925
2008-08-31,97.18250274658203,97.19249725341797,97.16999816894531,97.17250061035156,744439
2008-09-07,97.18499755859375,97.22250366210938,97.15499877929688,97.15499877929688,954786
2008-09-14,96.59500122070312,97.27249908447266,96.16000366210938,97.1875,249970
2008-09-21,96.33000183105469,96.69999694824219,96.0,96.55000305175781,194031
2008-09-28,96.0425033569336,96.41999816894531,95.70500183105469,96.33999633789062,253746
2008-10-05,95.31749725341797,96.25,95.25,96.05000305175781,348975
2008-10-12,96.89749908447266,97.0,95.20999908447266,95.3499984741211,215630
2008-10-19,97.02999877929688,97.4800033569336,96.9000015258789,96.94750213623047,189291
2008-10-26,97.62000274658203,97.68499755859375,97.05249786376953,97.06500244140625,149535
2008-11-02,97.87000274658203,97.94499969482422,97.5999984741211,97.69000244140625,122164
2008-11-09,97.73999786376953,98.00250244140625,97.61000061035156,97.88999938964844,93943
2008-11-16,97.99749755859375,98.1500015258789,97.73999786376953,97.73999786376953,793494
2008-11-23,97.875,98.10749816894531,97.81999969482422,98.03250122070312,659200
2008-11-30,97.85749816894531,97.98999786376953,97.80999755859375,97.875,764483
2008-12-07,98.11499786376953,98.1500015258789,97.82499694824219,97.86250305175781,839820
2008-12-14,98.6500015258789,98.70999908447266,98.11000061035156,98.11499786376953,211362
2008-12-21,98.62750244140625,98.6624984741211,98.58999633789062,98.64250183105469,38141
2008-12-28,98.69999694824219,98.7699966430664,98.66999816894531,98.68000030517578,45820
2009-01-04,98.95500183105469,98.98999786376953,98.63500213623047,98.69999694824219,130153
2009-01-11,98.81999969482422,99.03500366210938,98.79000091552734,98.9749984741211,99048
2009-01-18,98.80249786376953,98.98500061035156,98.7750015258789,98.82499694824219,135022
2009-01-25,98.73500061035156,98.93000030517578,98.73249816894531,98.78500366210938,106033
2009-02-01,98.87249755859375,98.9000015258789,98.6500015258789,98.66000366210938,85733
2009-02-08,98.75749969482422,98.875,98.75,98.83999633789062,215243
2009-02-15,98.76249694824219,98.79499816894531,98.64250183105469,98.75,966851
2009-02-22,98.7125015258789,98.80000305175781,98.68250274658203,98.77999877929688,874102
2009-03-01,98.63999938964844,98.73999786376953,98.5625,98.72000122070312,954953
2009-03-08,98.68250274658203,98.69000244140625,98.54499816894531,98.66999816894531,912768
2009-03-15,98.74749755859375,98.8324966430664,98.61250305175781,98.68250274658203,253598
2009-03-22,98.80249786376953,98.8125,98.72000122070312,98.75499725341797,127978
2009-03-29,98.84750366210938,98.87750244140625,98.77999877929688,98.80500030517578,94871
2009-04-05,98.87000274658203,98.88249969482422,98.8375015258789,98.8375015258789,87539
2009-04-12,98.92749786376953,98.94999694824219,98.9000015258789,98.93499755859375,46882
2009-04-19,98.97250366210938,98.99749755859375,98.85250091552734,98.94249725341797,78258
2009-04-26,99.0374984741211,99.05750274658203,98.9749984741211,98.97750091552734,67846
2009-05-03,99.13999938964844,99.15750122070312,99.04750061035156,99.04750061035156,48021
2009-05-10,99.19750213623047,99.19999694824219,99.11750030517578,99.12999725341797,56982
2009-05-17,99.30000305175781,99.44249725341797,99.18250274658203,99.18250274658203,1423480
2009-05-24,99.33999633789062,99.34500122070312,99.23999786376953,99.30000305175781,895819
2009-05-31,99.30249786376953,99.38999938964844,99.28250122070312,99.3375015258789,1003461
2009-06-07,99.37750244140625,99.38249969482422,99.30000305175781,99.31999969482422,704307
2009-06-14,99.32250213623047,99.38249969482422,99.26249694824219,99.38249969482422,149273
2009-06-21,99.38999938964844,99.4000015258789,99.33000183105469,99.33000183105469,101490
2009-06-28,99.4375,99.4625015258789,99.38249969482422,99.38500213623047,93150
2009-07-05,99.50250244140625,99.51000213623047,99.44999694824219,99.47000122070312,77689
2009-07-12,99.49749755859375,99.50499725341797,99.44000244140625,99.5,53562
2009-07-19,99.5,99.51499938964844,99.48999786376953,99.5,40216
2009-07-26,99.53500366210938,99.5374984741211,99.49500274658203,99.49500274658203,28625
2009-08-02,99.52749633789062,99.55500030517578,99.51750183105469,99.54000091552734,31495
2009-08-09,99.57250213623047,99.57499694824219,99.52999877929688,99.52999877929688,30057
2009-08-16,99.59249877929688,99.60250091552734,99.54000091552734,99.56500244140625,548823
2009-08-23,99.6675033569336,99.67749786376953,99.58999633789062,99.5999984741211,484025
2009-08-30,99.67500305175781,99.68499755859375,99.5999984741211,99.67500305175781,607885
2009-09-06,99.69499969482422,99.70500183105469,99.68000030517578,99.68000030517578,645281
2009-09-13,99.625,99.70249938964844,99.61499786376953,99.69499969482422,123073
2009-09-20,99.67749786376953,99.69499969482422,99.63500213623047,99.63500213623047,86986
2009-09-27,99.7074966430664,99.7125015258789,99.67749786376953,99.67749786376953,77987
2009-10-04,99.70249938964844,99.7125015258789,99.69750213623047,99.70500183105469,49681
2009-10-11,99.71499633789062,99.71749877929688,99.70249938964844,99.70500183105469,45612
2009-10-18,99.69249725341797,99.71499633789062,99.67749786376953,99.71499633789062,52706
2009-10-25,99.7074966430664,99.70999908447266,99.69000244140625,99.69499969482422,35182
2009-11-01,99.72250366210938,99.7249984741211,99.70249938964844,99.70249938964844,33174
2009-11-08,99.7300033569336,99.7300033569336,99.72250366210938,99.7249984741211,22909
2009-11-15,99.73500061035156,99.74250030517578,99.72000122070312,99.72750091552734,531182
2009-11-22,99.69750213623047,99.74500274658203,99.66999816894531,99.73750305175781,569956
2009-11-29,99.73750305175781,99.73999786376953,99.70500183105469,99.70500183105469,637725
2009-12-06,99.74250030517578,99.74749755859375,99.73500061035156,99.73750305175781,514577
2009-12-13,99.71749877929688,99.74749755859375,99.68499755859375,99.74749755859375,131031
2009-12-20,99.72750091552734,99.73249816894531,99.71749877929688,99.71749877929688,27171
2009-12-27,99.73750305175781,99.73999786376953,99.72000122070312,99.7300033569336,41283
2010-01-03,99.74749755859375,99.75,99.73500061035156,99.73500061035156,50673
2010-01-10,99.75,99.75,99.74500274658203,99.74749755859375,32334
2010-01-17,99.7300033569336,99.74250030517578,99.72250366210938,99.7300033569336,38789
2010-01-24,99.73750305175781,99.74250030517578,99.7300033569336,99.73249816894531,26650
2010-01-31,99.73999786376953,99.74500274658203,99.72750091552734,99.73500061035156,55970
2010-02-07,99.74749755859375,99.75,99.73750305175781,99.73750305175781,126701
2010-02-14,99.71499633789062,99.72750091552734,99.69750213623047,99.70999908447266,609733
2010-02-21,99.73500061035156,99.73999786376953,99.71499633789062,99.71499633789062,683784
2010-02-28,99.73500061035156,99.74500274658203,99.72750091552734,99.73500061035156,660911
2010-03-07,99.73750305175781,99.74250030517578,99.7300033569336,99.73500061035156,585243
2010-03-14,99.65750122070312,99.74250030517578,99.6449966430664,99.74250030517578,179641
