Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,4.538,4.591,4.513,4.563
2006-01-13,4.566,4.646,4.521,4.5315
2006-01-20,4.533,4.559,4.476,4.523
2006-01-27,4.526,4.73,4.518,4.6965
2006-02-03,4.696,4.737,4.622,4.626
2006-02-10,4.627,4.716,4.461,4.5565
2006-02-17,4.559,4.606,4.505,4.508
2006-02-24,4.51,4.549,4.473,4.5245
2006-03-03,4.526,4.67,4.499,4.6595
2006-03-10,4.662,4.793,4.658,4.7495
2006-03-17,4.751,4.782,4.674,4.721
2006-03-24,4.723,4.768,4.675,4.6945
2006-03-31,4.697,4.923,4.689,4.8915
2006-04-07,4.893,5.064,4.87,5.061
2006-04-14,5.062,5.125,4.971,5.1135
2006-04-21,5.112,5.156,5.042,5.094
2006-04-28,5.096,5.226,5.041,5.1625
2006-05-05,5.163,5.262,5.146,5.188
2006-05-12,5.19,5.315,5.162,5.31
2006-05-19,5.313,5.318,5.103,5.141
2006-05-26,5.143,5.198,5.074,5.157
2006-06-02,5.16,5.252,5.093,5.097
2006-06-09,5.095,5.129,5.019,5.0205
2006-06-16,5.023,5.179,4.997,5.1695
2006-06-23,5.173,5.268,5.16,5.252
2006-06-30,5.254,5.29,5.186,5.187
2006-07-07,5.189,5.294,5.129,5.172
2006-07-14,5.174,5.2,5.089,5.1145
2006-07-21,5.119,5.209,5.064,5.098
2006-07-28,5.101,5.152,5.052,5.0695
2006-08-04,5.072,5.104,4.976,4.989
2006-08-11,4.997,5.104,4.962,5.096
2006-08-18,5.106,5.126,4.966,4.978
2006-08-25,4.983,4.987,4.925,4.9225
2006-09-01,4.925,4.983,4.867,4.8721
2006-09-08,4.875,4.98,4.875,4.9191
2006-09-15,4.921,4.967,4.866,4.91015
2006-09-22,4.913,4.964,4.735,4.73335
2006-09-29,4.6898,4.798,4.683,4.76195
2006-10-06,4.767,4.848,4.712,4.8343
2006-10-13,4.837,4.949,4.835,4.93125
2006-10-20,4.931,4.942,4.868,4.9101
2006-10-27,4.911,4.976,4.791,4.7946
2006-11-03,4.786,4.814,4.683,4.8102
2006-11-10,4.789,4.79,4.697,4.6972
2006-11-17,4.697,4.753,4.644,4.68815
2006-11-24,4.692,4.7,4.612,4.6316
2006-12-01,4.636,4.681,4.526,4.54725
2006-12-08,4.551,4.666,4.529,4.6522
2006-12-15,4.663,4.738,4.594,4.7168
2006-12-22,4.72,4.767,4.686,4.76295
2006-12-29,4.694,4.846,4.694,4.8085
2007-01-05,4.815,4.817,4.687,4.73645
2007-01-12,4.747,4.867,4.728,4.8637
2007-01-19,4.865,4.905,4.829,4.8665
2007-01-26,4.866,5.001,4.84,4.9717
2007-02-02,4.974,5.007,4.867,4.92305
2007-02-09,4.925,4.933,4.817,4.865
2007-02-16,4.867,4.908,4.766,4.78695
2007-02-23,4.791,4.844,4.766,4.77505
2007-03-02,4.78,4.783,4.574,4.6363
2007-03-09,4.643,4.735,4.593,4.71945
2007-03-16,4.721,4.738,4.635,4.6955
2007-03-23,4.697,4.806,4.684,4.8032
2007-03-30,4.805,4.857,4.762,4.8402
2007-04-06,4.844,4.946,4.824,4.92335
2007-04-13,4.924,4.945,4.889,4.9311
2007-04-20,4.933,4.944,4.794,4.8462
2007-04-27,4.85,4.894,4.797,4.88465
2007-05-04,4.885,4.887,4.795,4.8071
2007-05-11,4.809,4.859,4.761,4.8503
2007-05-18,4.854,4.973,4.841,4.95865
2007-05-25,4.963,5.052,4.923,5.0045
2007-06-01,5.005,5.069,4.982,5.05775
2007-06-08,5.061,5.353,5.019,5.20315
2007-06-15,5.219,5.442,5.216,5.2601
2007-06-22,5.247,5.328,5.174,5.2514
2007-06-29,5.255,5.26,5.116,5.12385
2007-07-06,5.129,5.293,5.0875,5.269
2007-07-13,5.268,5.287,5.088,5.1849
2007-07-20,5.19,5.193,5.043,5.0581
2007-07-27,5.059,5.087,4.913,4.93215
2007-08-03,4.933,4.996,4.857,4.86015
2007-08-10,4.863,5.07,4.861,5.04235
2007-08-17,5.028,5.053,4.91,5.00155
2007-08-24,4.982,5.023,4.88,4.8833
2007-08-31,4.889,4.912,4.814,4.82485
2007-09-07,4.828,4.867,4.678,4.70065
2007-09-14,4.695,4.76,4.619,4.7196
2007-09-21,4.728,4.977,4.688,4.8872
2007-09-28,4.891,4.943,4.785,4.83695
2007-10-05,4.835,4.9,4.753,4.86055
2007-10-12,4.86,4.927,4.836,4.90015
2007-10-19,4.903,4.93,4.676,4.68705
2007-10-26,4.68,4.72,4.625,4.69365
2007-11-02,4.697,4.783,4.582,4.61505
2007-11-09,4.618,4.689,4.572,4.59265
2007-11-16,4.595,4.661,4.514,4.53805
2007-11-23,4.537,4.55,4.425,4.4246
2007-11-30,4.426,4.462,4.234,4.38165
2007-12-07,4.389,4.597,4.302,4.57155
2007-12-14,4.568,4.68,4.459,4.65975
2007-12-21,4.656,4.663,4.413,4.58235
2007-12-28,4.58,4.688,4.483,4.49485
2008-01-04,4.495,4.511,4.315,4.3726
2008-01-11,4.376,4.467,4.295,4.37415
2008-01-18,4.377,4.411,4.227,4.28185
2008-01-25,4.285,4.408,4.1,4.26865
2008-02-01,4.274,4.449,4.238,4.31145
2008-02-08,4.305,4.564,4.276,4.4251
2008-02-15,4.425,4.694,4.364,4.58015
2008-02-22,4.583,4.721,4.49,4.58215
2008-02-29,4.583,4.701,4.399,4.4079
2008-03-07,4.424,4.6179,4.393,4.54575
2008-03-14,4.5605,4.5664,4.296,4.37575
2008-03-21,4.364,4.38,4.158,4.1653
2008-03-28,4.167,4.423,4.166,4.30375
2008-04-04,4.317,4.436,4.262,4.3074
2008-04-11,4.31,4.416,4.281,4.30175
2008-04-18,4.298,4.5854,4.277,4.49615
2008-04-25,4.484,4.619,4.433,4.5958
2008-05-02,4.593,4.637,4.423,4.57755
2008-05-09,4.584,4.69,4.49,4.52545
2008-05-16,4.524,4.678,4.477,4.57765
2008-05-23,4.578,4.668,4.523,4.57575
2008-05-30,4.577,4.808,4.569,4.72285
2008-06-06,4.718,4.756,4.587,4.6227
2008-06-13,4.631,4.808,4.589,4.7903
2008-06-20,4.792,4.814,4.693,4.72635
2008-06-27,4.726,4.727,4.518,4.52145
2008-07-04,4.603,4.604,4.472,4.53385
2008-07-11,4.536,4.565,4.405,4.54325
2008-07-18,4.529,4.67,4.4262,4.6465
2008-07-25,4.662,4.7188,4.572,4.68925
2008-08-01,4.688,4.705,4.556,4.56625
2008-08-08,4.565,4.709,4.534,4.5405
2008-08-15,4.543,4.653,4.467,4.4672
2008-08-22,4.472,4.502,4.423,4.4662
2008-08-29,4.467,4.47,4.365,4.4236
2008-09-05,4.425,4.471,4.208,4.3047
