,US_Treasury_10Y
2006-01-06,4.38
2006-01-13,4.36
2006-01-20,4.37
2006-01-27,4.52
2006-02-03,4.54
2006-02-10,4.59
2006-02-17,4.54
2006-02-24,4.58
2006-03-03,4.68
2006-03-10,4.76
2006-03-17,4.68
2006-03-24,4.67
2006-03-31,4.86
2006-04-07,4.97
2006-04-14,5.05
2006-04-21,5.01
2006-04-28,5.07
2006-05-05,5.12
2006-05-12,5.19
2006-05-19,5.05
2006-05-26,5.06
2006-06-02,5.0
2006-06-09,4.98
2006-06-16,5.13
2006-06-23,5.23
2006-06-30,5.15
2006-07-07,5.14
2006-07-14,5.07
2006-07-21,5.05
2006-07-28,5.0
2006-08-04,4.91
2006-08-11,4.97
2006-08-18,4.84
2006-08-25,4.79
2006-09-01,4.73
2006-09-08,4.78
2006-09-15,4.8
2006-09-22,4.6
2006-09-29,4.64
2006-10-06,4.7
2006-10-13,4.81
2006-10-20,4.79
2006-10-27,4.68
2006-11-03,4.72
2006-11-10,4.59
2006-11-17,4.61
2006-11-24,4.55
2006-12-01,4.43
2006-12-08,4.56
2006-12-15,4.6
2006-12-22,4.63
2006-12-29,4.71
2007-01-05,4.65
2007-01-12,4.77
2007-01-19,4.78
2007-01-26,4.88
2007-02-02,4.83
2007-02-09,4.79
2007-02-16,4.69
2007-02-23,4.68
2007-03-02,4.52
2007-03-09,4.59
2007-03-16,4.55
2007-03-23,4.62
2007-03-30,4.65
2007-04-06,4.76
2007-04-13,4.76
2007-04-20,4.68
2007-04-27,4.71
2007-05-04,4.65
2007-05-11,4.67
2007-05-18,4.81
2007-05-25,4.86
2007-06-01,4.95
2007-06-08,5.12
2007-06-15,5.16
2007-06-22,5.14
2007-06-29,5.03
2007-07-06,5.19
2007-07-13,5.11
2007-07-20,4.96
2007-07-27,4.8
2007-08-03,4.71
2007-08-10,4.81
2007-08-17,4.68
2007-08-24,4.63
2007-08-31,4.54
2007-09-07,4.38
2007-09-14,4.47
2007-09-21,4.64
2007-09-28,4.59
