,US_Treasury_5Y
2010-05-21,2.02
2010-05-28,2.1
2010-06-04,1.98
2010-06-11,2.03
2010-06-18,2.04
2010-06-25,1.9
2010-07-02,1.82
2010-07-09,1.85
2010-07-16,1.7
2010-07-23,1.75
2010-07-30,1.6
2010-08-06,1.51
2010-08-13,1.47
2010-08-20,1.47
2010-08-27,1.49
2010-09-03,1.49
2010-09-10,1.59
2010-09-17,1.46
2010-09-24,1.37
2010-10-01,1.26
2010-10-08,1.11
2010-10-15,1.2
2010-10-22,1.17
2010-10-29,1.17
2010-11-05,1.1
2010-11-12,1.35
2010-11-19,1.54
2010-11-26,1.53
2010-12-03,1.64
2010-12-10,1.98
2010-12-17,1.97
2010-12-24,2.09
2010-12-31,2.01
2011-01-07,1.96
2011-01-14,1.95
2011-01-21,2.04
2011-01-28,1.92
2011-02-04,2.27
2011-02-11,2.38
2011-02-18,2.3
2011-02-25,2.16
2011-03-04,2.17
2011-03-11,2.06
2011-03-18,1.96
2011-03-25,2.2
2011-04-01,2.24
2011-04-08,2.31
2011-04-15,2.14
2011-04-22,2.14
2011-04-29,1.97
2011-05-06,1.87
2011-05-13,1.86
2011-05-20,1.82
2011-05-27,1.71
2011-06-03,1.6
2011-06-10,1.58
2011-06-17,1.53
2011-06-24,1.4
2011-07-01,1.8
2011-07-08,1.57
2011-07-15,1.46
2011-07-22,1.53
2011-07-29,1.35
2011-08-05,1.23
2011-08-12,0.96
2011-08-19,0.9
2011-08-26,0.94
2011-09-02,0.88
2011-09-09,0.81
2011-09-16,0.94
2011-09-23,0.89
2011-09-30,0.96
2011-10-07,1.08
2011-10-14,1.12
2011-10-21,1.08
2011-10-28,1.13
2011-11-04,0.88
2011-11-11,0.9
2011-11-18,0.94
2011-11-25,0.93
2011-12-02,0.92
2011-12-09,0.89
2011-12-16,0.81
2011-12-23,0.97
2011-12-30,0.83
2012-01-06,0.86
2012-01-13,0.8
2012-01-20,0.91
2012-01-27,0.75
2012-02-03,0.78
2012-02-10,0.81
2012-02-17,0.88
2012-02-24,0.89
2012-03-02,0.84
2012-03-09,0.9
2012-03-16,1.13
2012-03-23,1.1
2012-03-30,1.04
2012-04-06,0.89
2012-04-13,0.86
2012-04-20,0.86
2012-04-27,0.82
2012-05-04,0.78
2012-05-11,0.75
2012-05-18,0.75
2012-05-25,0.76
2012-06-01,0.62
2012-06-08,0.71
2012-06-15,0.68
2012-06-22,0.76
2012-06-29,0.72
2012-07-06,0.64
2012-07-13,0.63
2012-07-20,0.59
2012-07-27,0.65
2012-08-03,0.67
2012-08-10,0.71
2012-08-17,0.81
2012-08-24,0.72
2012-08-31,0.59
2012-09-07,0.64
2012-09-14,0.72
2012-09-21,0.68
2012-09-28,0.62
2012-10-05,0.67
2012-10-12,0.67
2012-10-19,0.77
2012-10-26,0.76
2012-11-02,0.73
2012-11-09,0.65
2012-11-16,0.62
2012-11-23,0.7
2012-11-30,0.61
2012-12-07,0.63
2012-12-14,0.7
2012-12-21,0.75
2012-12-28,0.72
2013-01-04,0.82
2013-01-11,0.78
2013-01-18,0.77
2013-01-25,0.87
2013-02-01,0.88
2013-02-08,0.84
2013-02-15,0.87
2013-02-22,0.84
2013-03-01,0.75
2013-03-08,0.9
2013-03-15,0.84
2013-03-22,0.8
2013-03-29,0.77
2013-04-05,0.68
2013-04-12,0.7
2013-04-19,0.72
2013-04-26,0.68
2013-05-03,0.73
2013-05-10,0.82
2013-05-17,0.84
2013-05-24,0.9
2013-05-31,1.05
2013-06-07,1.1
2013-06-14,1.04
2013-06-21,1.42
2013-06-28,1.41
2013-07-05,1.6
2013-07-12,1.43
2013-07-19,1.31
2013-07-26,1.36
2013-08-02,1.36
2013-08-09,1.36
2013-08-16,1.6
2013-08-23,1.66
2013-08-30,1.62
2013-09-06,1.77
2013-09-13,1.71
2013-09-20,1.5
2013-09-27,1.4
2013-10-04,1.41
2013-10-11,1.42
2013-10-18,1.35
2013-10-25,1.3
2013-11-01,1.37
2013-11-08,1.42
2013-11-15,1.36
2013-11-22,1.37
2013-11-29,1.37
2013-12-06,1.51
2013-12-13,1.55
2013-12-20,1.66
2013-12-27,1.74
2014-01-03,1.73
2014-01-10,1.64
2014-01-17,1.64
2014-01-24,1.58
2014-01-31,1.49
2014-02-07,1.47
2014-02-14,1.53
2014-02-21,1.56
2014-02-28,1.51
2014-03-07,1.65
2014-03-14,1.55
2014-03-21,1.73
2014-03-28,1.74
2014-04-04,1.71
2014-04-11,1.58
2014-04-18,1.75
2014-04-25,1.72
2014-05-02,1.67
2014-05-09,1.63
2014-05-16,1.56
2014-05-23,1.55
2014-05-30,1.54
2014-06-06,1.66
2014-06-13,1.7
2014-06-20,1.71
2014-06-27,1.64
2014-07-04,1.74
2014-07-11,1.65
2014-07-18,1.69
2014-07-25,1.69
2014-08-01,1.67
2014-08-08,1.62
2014-08-15,1.55
2014-08-22,1.68
2014-08-29,1.63
2014-09-05,1.69
2014-09-12,1.83
2014-09-19,1.83
2014-09-26,1.8
2014-10-03,1.73
2014-10-10,1.55
2014-10-17,1.44
2014-10-24,1.52
2014-10-31,1.62
2014-11-07,1.6
2014-11-14,1.62
2014-11-21,1.63
2014-11-28,1.49
2014-12-05,1.69
2014-12-12,1.53
2014-12-19,1.66
2014-12-26,1.75
2015-01-02,1.61
2015-01-09,1.45
2015-01-16,1.29
2015-01-23,1.33
2015-01-30,1.18
2015-02-06,1.48
2015-02-13,1.53
2015-02-20,1.61
2015-02-27,1.5
2015-03-06,1.7
2015-03-13,1.6
2015-03-20,1.42
2015-03-27,1.42
2015-04-03,1.26
2015-04-10,1.41
2015-04-17,1.31
2015-04-24,1.34
2015-05-01,1.5
2015-05-08,1.5
2015-05-15,1.46
2015-05-22,1.57
2015-05-29,1.49
2015-06-05,1.75
2015-06-12,1.75
2015-06-19,1.59
2015-06-26,1.75
2015-07-03,1.64
2015-07-10,1.68
2015-07-17,1.67
2015-07-24,1.64
2015-07-31,1.54
2015-08-07,1.59
2015-08-14,1.61
2015-08-21,1.44
2015-08-28,1.52
2015-09-04,1.47
2015-09-11,1.52
2015-09-18,1.45
2015-09-25,1.48
2015-10-02,1.29
2015-10-09,1.41
2015-10-16,1.36
2015-10-23,1.43
2015-10-30,1.52
2015-11-06,1.73
2015-11-13,1.67
2015-11-20,1.7
2015-11-27,1.64
2015-12-04,1.71
2015-12-11,1.56
2015-12-18,1.67
2015-12-25,1.73
2016-01-01,1.76
2016-01-08,1.57
2016-01-15,1.46
2016-01-22,1.49
2016-01-29,1.33
2016-02-05,1.25
2016-02-12,1.2
2016-02-19,1.24
2016-02-26,1.23
2016-03-04,1.38
2016-03-11,1.49
2016-03-18,1.34
2016-03-25,1.39
2016-04-01,1.24
2016-04-08,1.16
2016-04-15,1.22
2016-04-22,1.37
2016-04-29,1.28
2016-05-06,1.23
2016-05-13,1.22
2016-05-20,1.38
2016-05-27,1.39
2016-06-03,1.23
2016-06-10,1.17
2016-06-17,1.13
2016-06-24,1.08
2016-07-01,1.0
2016-07-08,0.95
2016-07-15,1.15
2016-07-22,1.13
2016-07-29,1.03
2016-08-05,1.13
2016-08-12,1.1
2016-08-19,1.17
2016-08-26,1.23
2016-09-02,1.2
2016-09-09,1.23
2016-09-16,1.21
2016-09-23,1.16
2016-09-30,1.14
2016-10-07,1.26
2016-10-14,1.28
2016-10-21,1.25
2016-10-28,1.33
2016-11-04,1.24
2016-11-11,1.56
2016-11-18,1.8
2016-11-25,1.83
2016-12-02,1.84
2016-12-09,1.89
2016-12-16,2.07
2016-12-23,2.04
2016-12-30,1.93
2017-01-06,1.92
2017-01-13,1.9
2017-01-20,1.95
2017-01-27,1.94
2017-02-03,1.93
2017-02-10,1.89
2017-02-17,1.92
2017-02-24,1.8
2017-03-03,2.02
2017-03-10,2.11
2017-03-17,2.03
2017-03-24,1.93
2017-03-31,1.93
2017-04-07,1.92
2017-04-14,1.77
2017-04-21,1.77
2017-04-28,1.81
2017-05-05,1.89
2017-05-12,1.85
2017-05-19,1.79
2017-05-26,1.79
2017-06-02,1.71
2017-06-09,1.77
2017-06-16,1.75
2017-06-23,1.77
2017-06-30,1.89
2017-07-07,1.95
2017-07-14,1.87
2017-07-21,1.81
2017-07-28,1.83
2017-08-04,1.82
2017-08-11,1.74
2017-08-18,1.77
2017-08-25,1.77
2017-09-01,1.73
2017-09-08,1.64
2017-09-15,1.81
2017-09-22,1.88
2017-09-29,1.92
2017-10-06,1.97
2017-10-13,1.91
2017-10-20,2.03
2017-10-27,2.03
2017-11-03,1.99
2017-11-10,2.06
2017-11-17,2.06
2017-11-24,2.07
2017-12-01,2.13
2017-12-08,2.14
2017-12-15,2.16
2017-12-22,2.26
2017-12-29,2.2
2018-01-05,2.29
2018-01-12,2.35
2018-01-19,2.45
2018-01-26,2.47
2018-02-02,2.58
2018-02-09,2.52
2018-02-16,2.63
2018-02-23,2.62
2018-03-02,2.63
2018-03-09,2.65
2018-03-16,2.65
2018-03-23,2.61
2018-03-30,2.56
2018-04-06,2.58
2018-04-13,2.67
2018-04-20,2.8
2018-04-27,2.8
2018-05-04,2.78
2018-05-11,2.84
2018-05-18,2.9
2018-05-25,2.76
2018-06-01,2.74
2018-06-08,2.77
2018-06-15,2.81
2018-06-22,2.77
2018-06-29,2.73
2018-07-06,2.71
2018-07-13,2.73
2018-07-20,2.77
2018-07-27,2.84
2018-08-03,2.82
2018-08-10,2.75
2018-08-17,2.75
2018-08-24,2.72
2018-08-31,2.74
2018-09-07,2.82
2018-09-14,2.9
2018-09-21,2.95
2018-09-28,2.94
2018-10-05,3.07
2018-10-12,3.0
2018-10-19,3.05
2018-10-26,2.91
2018-11-02,3.04
2018-11-09,3.05
2018-11-16,2.9
2018-11-23,2.88
2018-11-30,2.84
2018-12-07,2.7
2018-12-14,2.73
2018-12-21,2.64
2018-12-28,2.56
2019-01-04,2.49
2019-01-11,2.52
2019-01-18,2.62
2019-01-25,2.59
2019-02-01,2.51
2019-02-08,2.44
2019-02-15,2.49
2019-02-22,2.47
2019-03-01,2.56
2019-03-08,2.42
2019-03-15,2.4
2019-03-22,2.24
2019-03-29,2.23
2019-04-05,2.31
2019-04-12,2.38
2019-04-19,2.38
2019-04-26,2.29
2019-05-03,2.33
2019-05-10,2.26
2019-05-17,2.17
2019-05-24,2.12
2019-05-31,1.93
2019-06-07,1.85
2019-06-14,1.85
2019-06-21,1.8
2019-06-28,1.76
2019-07-05,1.84
2019-07-12,1.86
2019-07-19,1.8
2019-07-26,1.85
2019-08-02,1.66
2019-08-09,1.57
2019-08-16,1.42
2019-08-23,1.4
2019-08-30,1.39
2019-09-06,1.42
2019-09-13,1.75
2019-09-20,1.61
2019-09-27,1.56
2019-10-04,1.34
2019-10-11,1.59
2019-10-18,1.56
2019-10-25,1.62
2019-11-01,1.55
2019-11-08,1.74
2019-11-15,1.65
2019-11-22,1.62
2019-11-29,1.62
2019-12-06,1.67
2019-12-13,1.66
2019-12-20,1.73
2019-12-27,1.68
2020-01-03,1.69
