,US_Treasury_5Y
2006-01-06,4.32
2006-01-13,4.28
2006-01-20,4.31
2006-01-27,4.45
2006-02-03,4.5
2006-02-10,4.59
2006-02-17,4.55
2006-02-24,4.64
2006-03-03,4.71
2006-03-10,4.77
2006-03-17,4.62
2006-03-24,4.66
2006-03-31,4.82
2006-04-07,4.89
2006-04-14,4.97
2006-04-21,4.92
2006-04-28,4.92
2006-05-05,4.99
2006-05-12,5.08
2006-05-19,4.96
2006-05-26,4.95
2006-06-02,4.9
2006-06-09,4.95
2006-06-16,5.1
2006-06-23,5.21
2006-06-30,5.1
2006-07-07,5.1
2006-07-14,5.02
2006-07-21,4.99
2006-07-28,4.92
2006-08-04,4.84
2006-08-11,4.91
2006-08-18,4.78
2006-08-25,4.76
2006-09-01,4.68
2006-09-08,4.71
2006-09-15,4.76
2006-09-22,4.55
2006-09-29,4.59
2006-10-06,4.64
2006-10-13,4.77
2006-10-20,4.76
2006-10-27,4.64
2006-11-03,4.7
2006-11-10,4.57
2006-11-17,4.6
2006-11-24,4.55
2006-12-01,4.39
2006-12-08,4.53
2006-12-15,4.57
2006-12-22,4.59
2006-12-29,4.7
2007-01-05,4.65
2007-01-12,4.76
2007-01-19,4.78
2007-01-26,4.87
2007-02-02,4.82
2007-02-09,4.78
2007-02-16,4.68
2007-02-23,4.67
2007-03-02,4.46
2007-03-09,4.55
2007-03-16,4.47
2007-03-23,4.52
2007-03-30,4.54
2007-04-06,4.67
2007-04-13,4.68
2007-04-20,4.57
2007-04-27,4.59
2007-05-04,4.55
2007-05-11,4.58
2007-05-18,4.74
2007-05-25,4.8
2007-06-01,4.92
2007-06-08,5.06
2007-06-15,5.1
2007-06-22,5.02
2007-06-29,4.92
2007-07-06,5.1
2007-07-13,5.01
2007-07-20,4.85
2007-07-27,4.6
2007-08-03,4.52
2007-08-10,4.59
2007-08-17,4.35
2007-08-24,4.42
2007-08-31,4.25
2007-09-07,4.03
2007-09-14,4.18
2007-09-21,4.31
2007-09-28,4.23
2007-10-05,4.33
2007-10-12,4.42
2007-10-19,4.03
2007-10-26,4.04
2007-11-02,3.93
2007-11-09,3.77
2007-11-16,3.68
2007-11-23,3.42
2007-11-30,3.41
2007-12-07,3.51
2007-12-14,3.63
2007-12-21,3.58
2007-12-28,3.52
2008-01-04,3.18
2008-01-11,3.06
2008-01-18,2.86
2008-01-25,2.81
2008-02-01,2.75
2008-02-08,2.69
2008-02-15,2.76
2008-02-22,2.81
2008-02-29,2.5
2008-03-07,2.45
2008-03-14,2.37
2008-03-21,2.36
2008-03-28,2.51
2008-04-04,2.63
2008-04-11,2.57
2008-04-18,2.95
2008-04-25,3.2
2008-05-02,3.18
2008-05-09,2.98
2008-05-16,3.12
2008-05-23,3.15
2008-05-30,3.41
2008-06-06,3.2
2008-06-13,3.73
2008-06-20,3.57
2008-06-27,3.36
2008-07-04,3.28
2008-07-11,3.27
2008-07-18,3.42
2008-07-25,3.45
2008-08-01,3.23
2008-08-08,3.21
2008-08-15,3.11
2008-08-22,3.14
2008-08-29,3.1
2008-09-05,2.91
2008-09-12,2.97
2008-09-19,3.01
2008-09-26,3.05
2008-10-03,2.64
2008-10-10,2.77
2008-10-17,2.83
2008-10-24,2.64
2008-10-31,2.8
2008-11-07,2.56
2008-11-14,2.33
2008-11-21,2.02
2008-11-28,1.93
2008-12-05,1.67
2008-12-12,1.55
2008-12-19,1.35
2008-12-26,1.51
2009-01-02,1.72
2009-01-09,1.51
2009-01-16,1.47
2009-01-23,1.64
2009-01-30,1.85
2009-02-06,1.97
2009-02-13,1.88
2009-02-20,1.81
2009-02-27,1.99
2009-03-06,1.83
2009-03-13,1.87
2009-03-20,1.66
2009-03-27,1.79
2009-04-03,1.87
2009-04-10,1.9
2009-04-17,1.91
2009-04-24,1.96
2009-05-01,2.03
2009-05-08,2.15
2009-05-15,2.01
2009-05-22,2.23
2009-05-29,2.34
2009-06-05,2.85
2009-06-12,2.81
2009-06-19,2.82
2009-06-26,2.53
2009-07-03,2.43
2009-07-10,2.22
2009-07-17,2.52
2009-07-24,2.57
2009-07-31,2.53
2009-08-07,2.84
2009-08-14,2.51
2009-08-21,2.58
2009-08-28,2.46
2009-09-04,2.36
2009-09-11,2.29
2009-09-18,2.49
2009-09-25,2.36
2009-10-02,2.22
2009-10-09,2.36
2009-10-16,2.37
2009-10-23,2.46
2009-10-30,2.31
2009-11-06,2.3
2009-11-13,2.28
2009-11-20,2.2
2009-11-27,2.03
2009-12-04,2.24
2009-12-11,2.26
2009-12-18,2.3
2009-12-25,2.57
2010-01-01,2.69
2010-01-08,2.57
2010-01-15,2.44
2010-01-22,2.37
2010-01-29,2.34
2010-02-05,2.23
2010-02-12,2.35
2010-02-19,2.48
2010-02-26,2.3
2010-03-05,2.35
2010-03-12,2.42
2010-03-19,2.48
2010-03-26,2.59
2010-04-02,2.67
2010-04-09,2.65
2010-04-16,2.49
2010-04-23,2.61
2010-04-30,2.43
2010-05-07,2.17
2010-05-14,2.16
