Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2019-06-07,96.544,1340.7,63.24
2019-06-14,97.572,1341.58,62.04
2019-06-21,96.22,1399.05,65.35
2019-06-28,96.13,1409.5,66.51
2019-07-05,97.286,1399.95,64.44
2019-07-12,96.81,1415.745,67.0
2019-07-19,97.151,1425.295,62.65
2019-07-26,98.01,1418.695,63.39
2019-08-02,98.074,1440.705,61.17
2019-08-09,97.491,1497.24,58.42
2019-08-16,98.142,1514.15,58.64
2019-08-23,97.64,1526.85,58.94
2019-08-30,98.916,1520.25,60.43
2019-09-06,98.394,1506.95,61.78
2019-09-13,98.257,1488.7,60.25
2019-09-20,98.513,1517.15,64.77
2019-09-27,99.109,1496.945,61.91
2019-10-04,98.808,1504.6,58.43
2019-10-11,98.301,1489.85,60.68
2019-10-18,97.282,1490.1,59.3
2019-10-25,97.831,1504.73,62.03
2019-11-01,97.239,1513.95,61.55
2019-11-08,98.353,1458.657,62.61
2019-11-15,97.999,1467.3669,63.45
2019-11-22,98.27,1462.29,63.5
2019-11-29,98.273,1464.8,63.92
2019-12-06,97.7,1459.7571,64.27
2019-12-13,97.172,1475.8086,64.99
2019-12-20,97.69,1478.1997,66.1
2019-12-27,96.919,1510.6667,68.2
2020-01-03,96.838,1551.6527,68.7
2020-01-10,97.356,1562.283,65.1
2020-01-17,97.637,1556.6098,65.35
2020-01-24,97.853,1570.655,60.56
2020-01-31,97.39,1590.2,58.19
2020-02-07,98.684,1570.2858,54.5
2020-02-14,99.124,1584.705,57.24
2020-02-21,99.262,1643.7011,58.36
2020-02-28,98.132,1585.125,50.5
2020-03-06,95.951,1674.235,45.5
2020-03-13,98.749,1529.6951,34.97
2020-03-20,102.817,1498.245,27.21
2020-03-27,98.365,1623.5,25.1
2020-04-03,100.576,1618.45,34.65
2020-04-10,99.517,1689.9,32.03
2020-04-17,99.782,1684.6899,28.25
2020-04-24,100.38,1729.43,21.8
2020-05-01,99.079,1700.415,26.6
2020-05-08,99.734,1702.65,30.86
2020-05-15,100.402,1743.0,32.74
2020-05-22,99.863,1736.07,35.12
2020-05-29,98.344,1728.3,35.31
2020-06-05,96.937,1685.835,42.07
2020-06-12,97.319,1730.795,39.04
2020-06-19,97.623,1743.6151,41.92
2020-06-26,97.433,1771.475,40.67
2020-07-03,97.172,1775.045,42.78
2020-07-10,96.652,1798.895,43.17
2020-07-17,95.942,1809.9,43.1
2020-07-24,94.435,1901.4551,43.42
2020-07-31,93.349,1975.895,43.32
2020-08-07,93.435,2035.0251,44.69
2020-08-14,93.096,1944.29,44.95
2020-08-21,93.247,1940.165,44.26
2020-08-28,92.371,1964.895,45.08
2020-09-04,92.719,1932.85,42.35
2020-09-11,93.333,1942.5,39.92
2020-09-18,92.926,1950.2525,43.04
2020-09-25,94.642,1861.05,41.79
2020-10-02,93.844,1899.7,38.9
2020-10-09,93.057,1930.43,42.82
2020-10-16,93.682,1899.225,42.85
2020-10-23,92.768,1901.8551,41.59
2020-10-30,94.038,1878.95,37.45
2020-11-06,92.229,1951.895,39.6
2020-11-13,92.755,1888.5868,42.63
2020-11-20,92.392,1871.0158,45.24
2020-11-27,91.79,1789.05,48.27
2020-12-04,90.701,1837.995,49.03
2020-12-11,90.976,1839.5593,50.07
2020-12-18,90.016,1881.045,52.37
2020-12-25,90.323,1877.075,51.3
2021-01-01,89.937,1898.6,51.72
