Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2009-03-13,87.251,928.2,44.71
2009-03-20,83.708,952.85,51.4
2009-03-27,85.142,923.05,51.6
2009-04-03,84.176,893.9,53.55
2009-04-10,85.537,881.65,54.1
2009-04-17,85.896,868.9,53.3
2009-04-24,84.716,913.1,51.59
2009-05-01,84.542,887.3,52.65
2009-05-08,82.444,917.05,58.5
2009-05-15,82.948,931.7,56.1
2009-05-22,80.04,957.35,60.63
2009-05-29,79.233,980.0,65.8
2009-06-05,80.668,956.3,68.5
2009-06-12,80.128,938.9,70.76
2009-06-19,80.334,934.3,69.3
2009-06-26,79.903,939.05,69.15
2009-07-03,80.453,932.5,65.43
2009-07-10,80.233,913.15,60.29
2009-07-17,79.347,937.7,65.33
2009-07-24,78.749,951.35,70.32
2009-07-31,78.347,954.75,71.8
2009-08-07,78.975,954.9,73.19
2009-08-14,78.885,947.35,72.5
2009-08-21,78.044,954.15,74.08
2009-08-28,78.366,955.95,72.87
2009-09-04,78.136,994.4,66.56
2009-09-11,76.608,1005.85,67.5
2009-09-18,76.425,1007.15,71.1
2009-09-25,76.812,991.75,65.15
2009-10-02,77.003,1002.35,67.68
2009-10-09,76.431,1049.25,70.25
2009-10-16,75.597,1053.25,77.14
2009-10-23,75.468,1054.95,78.16
2009-10-30,76.3,1044.9,75.09
2009-11-06,75.819,1095.05,76.05
2009-11-13,75.334,1119.2,75.55
2009-11-20,75.656,1149.95,77.6
2009-11-27,74.996,1177.7,77.12
2009-12-04,75.911,1161.7,77.74
2009-12-11,76.573,1114.9,71.66
2009-12-18,77.821,1112.5,73.88
2009-12-25,77.645,1104.5,76.1
2010-01-01,77.86,1097.35,78.0
2010-01-08,77.471,1136.6,81.43
2010-01-15,77.323,1130.9,77.2
2010-01-22,78.277,1093.0,72.38
2010-01-29,79.462,1081.55,71.18
2010-02-05,80.441,1065.45,70.3
2010-02-12,80.316,1093.4,72.9
2010-02-19,80.643,1118.85,78.45
2010-02-26,80.362,1116.5,77.65
2010-03-05,80.432,1132.05,80.08
2010-03-12,79.833,1102.45,79.46
2010-03-19,80.724,1107.55,79.8
2010-03-26,81.676,1106.6,79.36
2010-04-02,81.293,1120.5,84.42
2010-04-09,81.093,1160.9,84.93
2010-04-16,80.824,1137.45,85.66
2010-04-23,81.352,1157.4,87.21
2010-04-30,81.866,1179.25,87.47
2010-05-07,84.45,1208.3,78.58
2010-05-14,86.095,1233.05,77.2
2010-05-21,85.371,1177.15,72.11
2010-05-28,86.48,1214.81,74.2
2010-06-04,88.233,1220.0,71.66
2010-06-11,87.507,1227.4,74.79
2010-06-18,85.699,1257.35,78.42
2010-06-25,85.313,1255.5,78.41
2010-07-02,84.427,1211.6,71.93
2010-07-09,83.947,1212.0,75.16
2010-07-16,82.486,1193.65,75.35
2010-07-23,82.464,1189.1,77.34
2010-07-30,81.539,1180.9,78.26
2010-08-06,80.407,1205.3,80.36
2010-08-13,82.948,1215.55,75.25
2010-08-20,83.057,1228.05,74.33
2010-08-27,82.918,1238.2,76.93
2010-09-03,82.102,1247.1,76.62
2010-09-10,82.698,1246.45,78.15
2010-09-17,81.398,1274.9,77.97
2010-09-24,79.395,1296.95,78.8
2010-10-01,78.088,1318.8,83.81
2010-10-08,77.325,1346.8,84.19
2010-10-15,77.041,1369.15,82.76
2010-10-22,77.472,1328.2,82.9
2010-10-29,77.266,1359.55,83.14
2010-11-05,76.548,1393.9,88.47
2010-11-12,78.082,1368.945,86.04
2010-11-19,78.504,1353.5,84.13
2010-11-26,80.357,1364.425,85.8
2010-12-03,79.377,1415.045,91.68
2010-12-10,80.07,1386.05,90.53
2010-12-17,80.373,1375.405,91.75
2010-12-24,80.496,1384.75,93.46
2010-12-31,79.028,1421.45,94.59
2011-01-07,81.012,1369.6,93.72
2011-01-14,79.162,1361.85,98.65
2011-01-21,78.213,1342.505,97.59
2011-01-28,78.133,1335.345,99.33
2011-02-04,78.044,1349.25,100.1
2011-02-11,78.46,1356.1,101.55
2011-02-18,77.664,1387.3,102.82
2011-02-25,77.275,1409.25,112.43
2011-03-04,76.4,1429.295,115.99
2011-03-11,76.776,1417.4,113.44
2011-03-18,75.718,1419.55,114.49
2011-03-25,76.217,1429.65,116.02
2011-04-01,75.833,1428.38,119.1
2011-04-08,75.066,1475.1,126.9
2011-04-15,74.832,1486.5,123.73
2011-04-22,73.995,1508.13,124.04
2011-04-29,72.933,1565.6,126.03
2011-05-06,74.841,1495.25,109.24
