Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,4.404,4.441,4.279,4.3555
2006-01-13,4.366,4.437,4.332,4.3385
2006-01-20,4.349,4.399,4.306,4.3545
2006-01-27,4.361,4.511,4.339,4.497
2006-02-03,4.503,4.65,4.495,4.5745
2006-02-10,4.579,4.698,4.575,4.6855
2006-02-17,4.694,4.729,4.659,4.6605
2006-02-24,4.676,4.745,4.668,4.722
2006-03-03,4.72,4.762,4.658,4.7435
2006-03-10,4.754,4.809,4.712,4.7355
2006-03-17,4.742,4.78,4.607,4.6425
2006-03-24,4.653,4.782,4.645,4.7115
2006-03-31,4.718,4.858,4.712,4.818
2006-04-07,4.824,4.914,4.8,4.9055
2006-04-14,4.914,4.968,4.856,4.9485
2006-04-21,4.959,4.959,4.819,4.9035
2006-04-28,4.91,5.016,4.864,4.8645
2006-05-05,4.871,4.992,4.867,4.9285
2006-05-12,4.937,5.018,4.933,5.0095
2006-05-19,5.014,5.022,4.908,4.9675
2006-05-26,4.972,4.983,4.899,4.9415
2006-06-02,4.954,5.071,4.912,4.91
2006-06-09,4.921,5.034,4.916,4.9965
2006-06-16,5.005,5.172,4.984,5.1615
2006-06-23,5.168,5.278,5.16,5.2635
2006-06-30,5.27,5.292,5.154,5.154
2006-07-07,5.162,5.259,5.15,5.1685
2006-07-14,5.175,5.204,5.085,5.096
2006-07-21,5.102,5.256,5.029,5.0805
2006-07-28,5.089,5.14,4.979,4.9795
2006-08-04,4.988,5.008,4.895,4.9095
2006-08-11,4.916,4.982,4.885,4.9695
2006-08-18,4.978,5.028,4.85,4.8765
2006-08-25,4.883,4.908,4.849,4.8605
2006-09-01,4.869,5.1162,4.762,4.7537
2006-09-08,4.762,4.849,4.762,4.8089
2006-09-15,4.819,4.878,4.781,4.8587
2006-09-22,4.869,4.916,4.638,4.6657
2006-09-29,4.6461,4.714,4.641,4.685
2006-10-06,4.695,4.759,4.583,4.7417
2006-10-13,4.75,4.89,4.75,4.861
2006-10-20,4.87,4.892,4.802,4.87135
2006-10-27,4.88,4.94,4.747,4.7487
2006-11-03,4.755,4.8285,4.646,4.8154
2006-11-10,4.824,4.824,4.739,4.7371
2006-11-17,4.743,4.865,4.713,4.7629
2006-11-24,4.771,4.801,4.714,4.7442
2006-12-01,4.748,4.787,4.504,4.5209
2006-12-08,4.533,4.696,4.475,4.6725
2006-12-15,4.687,4.759,4.586,4.7191
2006-12-22,4.73,4.777,4.653,4.7089
2006-12-29,4.662,4.837,4.657,4.8163
2007-01-05,4.808,4.825,4.682,4.75565
2007-01-12,4.766,4.91,4.758,4.8886
2007-01-19,4.893,4.957,4.851,4.92355
2007-01-26,4.924,5.008,4.898,4.9622
2007-02-02,4.975,5.004,4.883,4.93305
2007-02-09,4.941,4.954,4.866,4.90565
2007-02-16,4.912,4.975,4.793,4.8394
2007-02-23,4.839,4.883,4.791,4.8018
2007-03-02,4.808,4.812,4.519,4.5314
